id	title	rule	example	meaning	unit	note
03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns-non-defining-relative	Non-defining relative clauses (which ...)	Use commas + 'which' to add extra information about a noun without restricting its meaning.	Primary income, which reflects how much Japan earned, rose 15.3 percent.	カンマで挟んだ which 節は補足説明。訳すときは「〜という、」や括弧的に挿入すると読みやすい。	2026-06-09	Japan's April current account surplus at ¥3.91 tril on overseas returns
03-japan-s-april-current-account-surplus-at-3-91-tril-on-overseas-returns-participial-phrase	Participial phrases for cause/background	Present participles (-ing) and past participles can add background or cause in concise news style.	The conflict, stemming from the launch of attacks on Iran, impacted the figure.	stemming from や shedding など分詞構文で、理由や付加情報をコンパクトに挿入するのがニュース文体の特徴。	2026-06-09	Japan's April current account surplus at ¥3.91 tril on overseas returns
04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on-reported-speech	Reported speech in news (said that ...)	Use 'said/reported/stated that + clause' to report what an organization or person announced. Tense may shift back (backshift) in formal reporting.	The hospitals said that information was confirmed to be on hard disks sold online.	報道では said that ... で発表内容を間接的に伝える。that 以下の時制は、発言時より前の事実なら過去形にずらす（時制の一致）ことが多い。	2026-06-09	Data on 510,000 people linked to Hokkaido hospitals possibly leaked online
04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on-passive-news	Passive voice for events and confirmations	News writing often uses passive forms (was confirmed, were destroyed, were recovered) to focus on what happened rather than who did it.	Information was confirmed to be on hard disks sold online.	ニュースでは受動態で「何が確認されたか・何が回収されたか」を主語に置き、行為者より事象を前面に出す。	2026-06-09	Data on 510,000 people linked to Hokkaido hospitals possibly leaked online
04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on-participial-modifiers	Past participles as reduced relative clauses	Past participles (sold, recovered, based) after nouns shorten relative clauses: 'disks (that were) sold online'.	The Sapporo-based hospitals recovered 90 similar hard disks.	過去分詞を名詞の後に置くと関係代名詞＋be動詞を省略した形になる。Sapporo-based = based in Sapporo、sold online = that were sold online。	2026-06-09	Data on 510,000 people linked to Hokkaido hospitals possibly leaked online
04-data-on-510-000-people-linked-to-hokkaido-hospitals-possibly-leaked-on-of-quantity	Of + total, number + part (partial amounts)	Pattern 'Of the [total number] ..., [smaller number] ...' shows how many belong to a larger group.	Of the 90 similar hard disks recovered, 33 contained information.	Of the 90 ... , 33 ... は「90のうち33」という部分と全体の関係を示す。日本語の「〜のうち」に相当する。	2026-06-09	Data on 510,000 people linked to Hokkaido hospitals possibly leaked online
05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for--on-suspicion-of	on suspicion of + noun	Used in crime news to mean someone was arrested or investigated because they are believed to have committed an offense.	Police arrested a woman on suspicion of child abandonment.	犯罪報道でよく使われる定型表現。「〜の疑いで」という意味。動詞は arrest, detain, question などと結びつく。	2026-06-09	Child comes into store saying she's hungry after being left alone for 11 hours by mother, boyfriend who were out drinking
05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for--be-suspected-of-gerund	be suspected of + -ing	The passive pattern reports an allegation without stating it as fact.	The two are suspected of leaving the daughter alone.	「〜した疑いがある」と疑いを伝える受動的な言い方。事実断定を避けるニュース文体で頻出。	2026-06-09	Child comes into store saying she's hungry after being left alone for 11 hours by mother, boyfriend who were out drinking
05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for--reporting-clause-inversion	Reporting clause at the end	News articles often place the source (e.g., a broadcaster or police) after the main information.	..., Hokkaido Broadcasting Corp reported.	報道文では主な情報を先に述べ、文末に「〜が報じた」と情報源を置く倒置が多い。	2026-06-09	Child comes into store saying she's hungry after being left alone for 11 hours by mother, boyfriend who were out drinking
05-child-comes-into-store-saying-she-s-hungry-after-being-left-alone-for--participle-clause-saying	Participial clause with -ing	An -ing clause can add extra detail about what someone said or did at the same time.	An employee reported that a girl had come in alone, saying she was hungry.	分詞構文 saying ... で「〜と言って」という付加情報を簡潔に付ける。間接話法と組み合わせると報道文が読みやすくなる。	2026-06-09	Child comes into store saying she's hungry after being left alone for 11 hours by mother, boyfriend who were out drinking
